Order ID,Amount,Profit,Quantity,Category,Sub-Category,PaymentMode,Order Date,CustomerName,State,City,Year-Month
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2023-06-27,David Padilla,Florida,Miami,2023-06
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2024-12-27,Connor Morgan,Illinois,Chicago,2024-12
B-26776,9726,1275,5,Electronics,Electronic Games,UPI,2021-07-25,Robert Stone,New York,Buffalo,2021-07
B-26776,4975,1330,14,Electronics,Printers,UPI,2023-06-27,David Padilla,Florida,Miami,2023-06
B-26776,4975,1330,14,Electronics,Printers,UPI,2024-12-27,Connor Morgan,Illinois,Chicago,2024-12
B-26776,4975,1330,14,Electronics,Printers,UPI,2021-07-25,Robert Stone,New York,Buffalo,2021-07
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,2024-05-11,John Fields,Florida,Orlando,2024-05
B-26942,1525,185,12,Office Supplies,Pens,Debit Card,2021-10-09,Clayton Smith,Florida,Miami,2021-10
B-26640,883,117,10,Electronics,Laptops,EMI,2022-11-18,Richard Kelley,California,Los Angeles,2022-11
B-26640,8127,3551,16,Furniture,Tables,Credit Card,2022-11-18,Richard Kelley,California,Los Angeles,2022-11
B-25890,2516,734,19,Furniture,Chairs,UPI,2023-11-12,Jacqueline Hubbard,New York,New York City,2023-11
B-25102,2975,462,14,Office Supplies,Pens,Credit Card,2020-03-23,Jessica Anderson,New York,New York City,2020-03
B-25426,6851,2812,1,Office Supplies,Markers,Debit Card,2020-05-04,Mary Taylor,Florida,Orlando,2020-05
B-25426,7626,1046,15,Furniture,Sofas,Credit Card,2020-05-04,Mary Taylor,Florida,Orlando,2020-05
B-25426,1023,78,9,Furniture,Tables,UPI,2020-05-04,Mary Taylor,Florida,Orlando,2020-05
B-25238,7600,1098,10,Office Supplies,Pens,UPI,2023-11-09,Walter Crawford,Illinois,Springfield,2023-11
B-25238,7501,262,18,Office Supplies,Paper,COD,2023-11-09,Walter Crawford,Illinois,Springfield,2023-11
B-25051,725,133,6,Office Supplies,Paper,Credit Card,2024-12-30,Lawrence Robinson,New York,Rochester,2024-12
B-25051,7201,2685,2,Furniture,Tables,Credit Card,2024-12-30,Lawrence Robinson,New York,Rochester,2024-12
B-26510,1629,265,1,Office Supplies,Paper,UPI,2025-02-11,Douglas Pennington,Texas,Dallas,2025-02
B-26510,1629,265,1,Office Supplies,Paper,UPI,2024-01-23,Ricardo Andrews,California,San Diego,2024-01
B-25104,8971,2971,19,Office Supplies,Binders,Debit Card,2020-11-28,Paul Raymond,California,San Diego,2020-11
B-25104,2939,894,20,Office Supplies,Binders,COD,2020-11-28,Paul Raymond,California,San Diego,2020-11
B-25553,9380,414,11,Electronics,Phones,UPI,2024-05-30,Karen Johnson,New York,Rochester,2024-05
